Relations,Templates
http://dbpedia.org/ontology/abstract,Y
http://www.w3.org/2000/01/rdf-schema#label,This is X
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,X is a Y
http://dbpedia.org/ontology/abbreviation,X is abbreviated as Y
http://dbpedia.org/ontology/academicAdvisor,Y is the academic advisor of X
http://dbpedia.org/ontology/academicDiscipline,Y is the academic discipline of X
http://dbpedia.org/ontology/activeYearsEndDate,X was active until Y
http://dbpedia.org/ontology/activeYearsEndYear,X was active until Y
http://dbpedia.org/ontology/activeYearsStartDate,X was active from Y
http://dbpedia.org/ontology/activeYearsStartYear,X was active from Y
http://dbpedia.org/ontology/address,The address of X is Y
http://dbpedia.org/ontology/administrativeDistrict,X is in the administrative district of Y
http://dbpedia.org/ontology/affiliation,X is affiliated to Y
http://dbpedia.org/ontology/alias,X has alias Y
http://dbpedia.org/ontology/allegiance,X has allegiance to Y
http://dbpedia.org/ontology/almaMater,X studied at Y
http://dbpedia.org/ontology/anthem,Y is the anthem for X
http://dbpedia.org/ontology/appointer,X was appointed by Y
http://dbpedia.org/ontology/architect,Y was the architect of X
http://dbpedia.org/ontology/architecturalStyle,X was constructed using the Y architectural style
http://dbpedia.org/ontology/area,X has area Y
http://dbpedia.org/ontology/areaCode,X has area code Y
http://dbpedia.org/ontology/areaLand,X has land area of Y square metres
http://dbpedia.org/ontology/areaMetro,X has a metropolitan area of Y
http://dbpedia.org/ontology/areaOfCatchment,X has a catchment area of Y square metres
http://dbpedia.org/ontology/areaTotal,X has a total area of Y square metres
http://dbpedia.org/ontology/areaUrban,X has an urban area of Y square metres
http://dbpedia.org/ontology/areaWater,X has a water area of Y square metres
http://dbpedia.org/ontology/arrondissement,X is in the arrondissement Y
http://dbpedia.org/ontology/assets,X has assets valued at Y
http://dbpedia.org/ontology/associate,X is associated to Y
http://dbpedia.org/ontology/author,X was written by Y
http://dbpedia.org/ontology/averageAnnualGeneration,X has an average annual gross power generation of Y joule
http://dbpedia.org/ontology/averageDepth,The average depth of X is Y
http://dbpedia.org/ontology/award,X has been awarded with the Y
http://dbpedia.org/ontology/battle,X was involved in the Y
http://dbpedia.org/ontology/birthDate,X was born on Y
http://dbpedia.org/ontology/birthName,The name at birth of X is Y
http://dbpedia.org/ontology/birthPlace,X was born in Y
http://dbpedia.org/ontology/birthYear,X was born in Y
http://dbpedia.org/ontology/bridgeCarries,X can carry vehicles of type Y
http://dbpedia.org/ontology/builder,X was built by Y
http://dbpedia.org/ontology/buildingEndDate,The building process for X ended on Y
http://dbpedia.org/ontology/buildingStartDate,The building process for X started on Y
http://dbpedia.org/ontology/buildingStartYear,The building process for X started in Y
http://dbpedia.org/ontology/campus,The X campus is in Y
http://dbpedia.org/ontology/canonizedBy,X was canonized by Y
http://dbpedia.org/ontology/canonizedPlace,X was canonized in Y
http://dbpedia.org/ontology/canton,X is located in canton Y
http://dbpedia.org/ontology/capacity,X has a capacity of Y
http://dbpedia.org/ontology/capital,Y is the capital of X
http://dbpedia.org/ontology/causalties,The X had Y casualties
http://dbpedia.org/ontology/censusYear,The census year of X is Y
http://dbpedia.org/ontology/chain,The X belongs to the Y chain
http://dbpedia.org/ontology/chairman,The chairman of the X is Y
http://dbpedia.org/ontology/chairmanTitle,The chairman of the X is called Y
http://dbpedia.org/ontology/championships,X won Y championships
http://dbpedia.org/ontology/chancellor,X served under the chancellor Y
http://dbpedia.org/ontology/characterInPlay,Y is a character in the play X
http://dbpedia.org/ontology/child,Y is the child of X
http://dbpedia.org/ontology/citizenship,X has the citizenship of Y
http://dbpedia.org/ontology/city,X is in Y
http://dbpedia.org/ontology/closingYear,The X was closed in the year Y
http://dbpedia.org/ontology/coach,The coach of the X is Y
http://dbpedia.org/ontology/code,The code for X is Y
http://dbpedia.org/ontology/colourHexCode,The colour X has the hexa code Y
http://dbpedia.org/ontology/combatant,Y was a combatant in the X
http://dbpedia.org/ontology/commander,Y was a commander in the X
http://dbpedia.org/ontology/committee,X is in the Y committee
http://dbpedia.org/ontology/constructionMaterial,The X is made of Y
http://dbpedia.org/ontology/cosparId,The international designator of X is Y
http://dbpedia.org/ontology/cost,The cost of the X was Y
http://dbpedia.org/ontology/country,The country of X is Y
http://dbpedia.org/ontology/crosses,The X crosses the Y
http://dbpedia.org/ontology/currency,The currency of X is the Y
http://dbpedia.org/ontology/date,The date of the X is Y
http://dbpedia.org/ontology/daylightSavingTimeZone,The day light saving time zone of X is Y
http://dbpedia.org/ontology/deathCause,The cause of death of X was Y
http://dbpedia.org/ontology/deathDate,X died on Y
http://dbpedia.org/ontology/deathPlace,The place of death of X was Y
http://dbpedia.org/ontology/deathYear,X died in year Y
http://dbpedia.org/ontology/demonym,A resident or native of X is a Y
http://dbpedia.org/ontology/depictionDescription,X was depicted in description of Y
http://dbpedia.org/ontology/deputy,The deputy of X is Y
http://dbpedia.org/ontology/designer,X was designed by Y
