Relations,Labels,Templates,We don't know Y (knowing X),Plural Templates
http://www.wikidata.org/entity/P1001,applies to jurisdiction,X applies to the jurisdiction of Y,I don't know which jurisdiction X applies to,X applies to the jurisdictions of Y
http://www.wikidata.org/entity/P101,field of work,The discipline of X is Y,I don't know the discipline of X,The disciplines of X are Y
http://www.wikidata.org/entity/P102,member of political party,X belongs to the Y,I don't know where X belongs to,X belongs to the Y
http://www.wikidata.org/entity/P1027,conferred by,X is awarded by Y,I don't know who X was awarded by,X is awarded by Y
http://www.wikidata.org/entity/P1028,donated by,X was donated by Y,I don't know who donated X,X was donated by Y
http://www.wikidata.org/entity/P1029,crew member,Y is a crew member of X,I don't know crew members of X,Y are crew members of X
http://www.wikidata.org/entity/P103,native language,Y is a native language of X,I don't know native languages of X,Y are native languages of X
http://www.wikidata.org/entity/P1037,manager/director,Y manages X,I don't know who manages X,Y manage X
http://www.wikidata.org/entity/P1038,relative,X is a family member of Y,I don't know relatives of X,X is a family member of Y
http://www.wikidata.org/entity/P1040,film editor,Y is a film editor of X,I don't know a film editor of X,Y are film editors of X
http://www.wikidata.org/entity/P1050,medical condition,Medical condition of X is Y,I don't know medical condition of X,Medical conditions of X are Y
http://www.wikidata.org/entity/P1056,product or material produced,X produces Y,I don't know what X produces,X produces Y
http://www.wikidata.org/entity/P1057,chromosome,X is localized in Y,I don't know where X is localized,X is localized in Y
http://www.wikidata.org/entity/P106,occupation,X was occupied as Y,I don't know occupation of X,X was occupied as Y
http://www.wikidata.org/entity/P1064,track gauge,Y is a track gauge of X,I don't know a track gauge of X,Y are track gauges of X
http://www.wikidata.org/entity/P1066,student of,X is a student of Y,I don't know whose student X is,X is a student of Y
http://www.wikidata.org/entity/P1071,location of final assembly,X is finally assembled in Y,I don't know where X was finally assembled,X is finally assembled in Y
http://www.wikidata.org/entity/P108,employer,Y is the employer of X,I don't know who employs X,Y are the employers of X
http://www.wikidata.org/entity/P1080,from fictional universe,X is from fictional universe of Y,I don't know which fictional universe is X from,X is from fictional universes of Y
http://www.wikidata.org/entity/P110,illustrator,Y is an illustrator of X,I don't know who illustrated X,Y are illustrators of X
http://www.wikidata.org/entity/P112,founded by,X was founded by Y,I don't know who founded X,X was founded by Y
http://www.wikidata.org/entity/P113,airline hub,Y is an airline hub of X,I don't know an airline hub of X,Y are airline hubs of X
http://www.wikidata.org/entity/P1142,political ideology,Y is a political ideology of X,I don't know a political ideology of X,Y are political ideologies of X
http://www.wikidata.org/entity/P115,home venue,Y is a home venue of X,I don't know a home venue of X,Y are home venues of X
http://www.wikidata.org/entity/P118,league,X was in Y league,I don't know which league X belongs to,X was in Y league
http://www.wikidata.org/entity/P119,place of burial,The burial place of X is Y,I don't know where X is buried,The burial places of X are Y
http://www.wikidata.org/entity/P1192,connecting service,X connects to Y,I don't know any connections to/from X,X connects to Y
http://www.wikidata.org/entity/P1196,manner of death,X died because of Y,I don't know why X died,X died because of Y
http://www.wikidata.org/entity/P121,item operated,X operates Y,I don't know what X operates,X operates Y
http://www.wikidata.org/entity/P122,basic form of government,A basic form of government in X is Y,I don't know the government form of X,A basic form of governments in X are Y
http://www.wikidata.org/entity/P123,publisher,Y is the publisher of X,I don't know who published X,Y are the publishers of X
http://www.wikidata.org/entity/P126,maintained by,X is maintained by Y,I don't know who maintains X,X is maintained by Y
http://www.wikidata.org/entity/P127,owned by,Y is the owner of X,I don't know who owns X,Y are the owners of X
http://www.wikidata.org/entity/P129,physically interacts with,X physically interacts with Y,I don't know who interacts physically with X,X physically interacts with Y
http://www.wikidata.org/entity/P1303,instrument,X plays Y,I don't know what instruments does X play,X plays Y
http://www.wikidata.org/entity/P131,located in area,X is located in Y,I don't know where X is located,X is located in Y
http://www.wikidata.org/entity/P1313,office held by head of government,head of X is called Y,I don't know how the head of X is called,heads of X are called Y
http://www.wikidata.org/entity/P1340,eye color,The eye color of X is Y,I don't know the eye color of X,The eye colors of X are Y
http://www.wikidata.org/entity/P1344,participant of,X is a participant of Y,I don't know where X participates,X is a participant of Y
http://www.wikidata.org/entity/P1346,winner,X is won by Y,I don't know what X won,X is won by Y
http://www.wikidata.org/entity/P135,movement,X was part of the movement Y,I don't know in what movement X took part,X was part of the movements Y
http://www.wikidata.org/entity/P136,genre,The genre of X is Y,I don't know the genre of X,The genres of X are Y
http://www.wikidata.org/entity/P137,operator,Y is an operator of X,I don't know who operates X,Y are operators of X
http://www.wikidata.org/entity/P1376,capital of,X is a capital of Y,I don't know the capital of X,X is a capital of Y
http://www.wikidata.org/entity/P138,named after,X was named after Y,I don't know after what was X named,X was named after Y
http://www.wikidata.org/entity/P1382,partially coincident with,X is partially coincident with Y,I don't know what does X partially coincide with,X is partially coincident with Y
http://www.wikidata.org/entity/P1383,contains settlement,X contains settlement Y,I don't know what settlements does X contain,X contains settlements Y
http://www.wikidata.org/entity/P1389,product certification,X has a product certification of Y,I don't what product certifications does X have,X has product certifications of Y
http://www.wikidata.org/entity/P1399,convicted of,X was found guilty of Y,I don't know about any convictions of X,X was found guilty of Y
http://www.wikidata.org/entity/P140,religion,Y is the religion of X,I don't know the religion of X,Y are the religions of X
http://www.wikidata.org/entity/P1403,original combination,Y is a protonym of X,I don't a protonym of X,Y are protonyms of X
http://www.wikidata.org/entity/P1408,licensed to broadcast to,X is licensed to broadcast to Y,I don't know what X is licensed to broadcast,X is licensed to broadcast to Y
http://www.wikidata.org/entity/P1411,nominated for,X is nominated for Y,I don't know any of the nominations of X,X is nominated for Y
http://www.wikidata.org/entity/P1412,"languages spoken, written or signed",X speaks Y,I don't know what languages does X know,X speaks Y
http://www.wikidata.org/entity/P1416,affiliation,X is affiliated to Y,I don't know what affilications does X have,X is affiliated to Y
http://www.wikidata.org/entity/P1427,start point,Y is the starting point of X,I don't know the starting point of X,Y are the starting points of X
http://www.wikidata.org/entity/P1431,executive producer,Y is the executive producer of X,I don't know who the executive produces of X is,Y are the executive producers of X
http://www.wikidata.org/entity/P1433,published in,X was published in Y,I don't know when X was published,X was published in Y
http://www.wikidata.org/entity/P1434,takes place in fictional universe,X happens in a fictional universe Y,I don't know in which fictional universe X takes place,X happens in a fictional universe Y
http://www.wikidata.org/entity/P1435,heritage designation,Y is the heritage designation for X,I don't know the heritage designation for X,Y are the heritage designations for X
http://www.wikidata.org/entity/P144,based on,X is based on Y,I don't know what X is based on,X is based on Y
http://www.wikidata.org/entity/P1441,present in work,X is present in Y,I don't know where X is present in,X is present in Y
http://www.wikidata.org/entity/P1444,destination point,The destination point of X is Y,I don't know what is the destination of X,The destination point of X are Y
http://www.wikidata.org/entity/P1445,fictional universe described in,X is a fictional universe of Y,I don't know in which fictional universe X is described for,X are fictional universe of Y
