Templates,Labels,Relations
Y passengers traveled in X per day.,passengers per day,http://dbpedia.org/ontology/passengersPerDay
Y passengers  traveled in X per month.,passengersPerMonth,http://dbpedia.org/ontology/passengersPerMonth
X has Y visitors per month.,numberOfVisitorsMonth,http://dbpedia.org/ontology/numberOfVisitorsMonth
X has Y visitors per day.,numberOfVisitorsDaily,http://dbpedia.org/ontology/numberOfVisitorsDaily
X is important because Y.,significance,http://dbpedia.org/ontology/significance
The color of X is Y.,color,http://dbpedia.org/ontology/color
The budget of X is approximately Y dollars.,budget ($),http://dbpedia.org/ontology/budget
Y.,has abstract,http://dbpedia.org/ontology/abstract
This is X.,label,http://www.w3.org/2000/01/rdf-schema#label
X is a Y.,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
X is abbreviated as Y.,abbreviation,http://dbpedia.org/ontology/abbreviation
Y is the academic advisor of X.,academic advisor,http://dbpedia.org/ontology/academicAdvisor
Y is the academic discipline of X.,academic discipline,http://dbpedia.org/ontology/academicDiscipline
X was active until Y.,active years end date,http://dbpedia.org/ontology/activeYearsEndDate
X was active until Y.,active years end year,http://dbpedia.org/ontology/activeYearsEndYear
X was active from Y.,active years start date,http://dbpedia.org/ontology/activeYearsStartDate
X was active from Y.,active years start year,http://dbpedia.org/ontology/activeYearsStartYear
The address of X is Y.,address,http://dbpedia.org/ontology/address
X is in the administrative district of Y.,administrative district,http://dbpedia.org/ontology/administrativeDistrict
X is affiliated to Y.,affiliation,http://dbpedia.org/ontology/affiliation
X has alias Y.,alias,http://dbpedia.org/ontology/alias
X has allegiance to Y.,allegiance,http://dbpedia.org/ontology/allegiance
X studied at Y.,alma mater,http://dbpedia.org/ontology/almaMater
Y is the anthem for X.,anthem,http://dbpedia.org/ontology/anthem
X was appointed by Y.,appointer,http://dbpedia.org/ontology/appointer
Y was the architect of X.,architect,http://dbpedia.org/ontology/architect
X was constructed using the Y architectural style.,architectural style,http://dbpedia.org/ontology/architecturalStyle
X has an area of Y square meters.,area (m2),http://dbpedia.org/ontology/area
X has area code Y.,area code,http://dbpedia.org/ontology/areaCode
X has land area of Y square meters.,area land (m2),http://dbpedia.org/ontology/areaLand
X has a metropolitan area of Y square meters.,area metro (m2),http://dbpedia.org/ontology/areaMetro
X has a catchment area of Y square meters.,area of catchment (m2),http://dbpedia.org/ontology/areaOfCatchment
X has a total area of Y square meters.,area total (m2),http://dbpedia.org/ontology/areaTotal
X has an urban area of Y square meters.,area urban (m2),http://dbpedia.org/ontology/areaUrban
X has a water area of Y square meters.,area water (m2),http://dbpedia.org/ontology/areaWater
X is in the arrondissement Y.,arrondissement,http://dbpedia.org/ontology/arrondissement
X has assets valued at Y dollars.,assets ($),http://dbpedia.org/ontology/assets
X is associated to Y.,associate,http://dbpedia.org/ontology/associate
X was written by Y.,author,http://dbpedia.org/ontology/author
X has an average annual gross power generation of Y joule.,average annual gross power generation (J),http://dbpedia.org/ontology/averageAnnualGeneration
The average depth of X is Y meters.,average depth (μ),http://dbpedia.org/ontology/averageDepth
X has been awarded with the Y.,award,http://dbpedia.org/ontology/award
X was involved in the Y.,battle,http://dbpedia.org/ontology/battle
X was born on Y.,birth date,http://dbpedia.org/ontology/birthDate
The name at birth of X is Y.,birth name,http://dbpedia.org/ontology/birthName
X was born in Y.,birth place,http://dbpedia.org/ontology/birthPlace
X was born in Y.,birth year,http://dbpedia.org/ontology/birthYear
X can carry vehicles of type Y.,bridge carries,http://dbpedia.org/ontology/bridgeCarries
X was built by Y.,builder,http://dbpedia.org/ontology/builder
The building process for X ended on Y.,building end date,http://dbpedia.org/ontology/buildingEndDate
The building process for X started on Y.,building start date,http://dbpedia.org/ontology/buildingStartDate
The building process for X started in Y.,building start year,http://dbpedia.org/ontology/buildingStartYear
The X campus is in Y.,campus,http://dbpedia.org/ontology/campus
X was canonized by Y.,canonized by,http://dbpedia.org/ontology/canonizedBy
X was canonized in Y.,canonized place,http://dbpedia.org/ontology/canonizedPlace
X is located in canton Y.,canton,http://dbpedia.org/ontology/canton
X has a capacity of Y.,capacity,http://dbpedia.org/ontology/capacity
Y is the capital of X.,capital,http://dbpedia.org/ontology/capital
The X had Y casualties.,causalties,http://dbpedia.org/ontology/causalties
The census year of X is Y.,census year,http://dbpedia.org/ontology/censusYear
The X belongs to the Y chain.,chain,http://dbpedia.org/ontology/chain
The chairman of the X is Y.,chairman,http://dbpedia.org/ontology/chairman
The chairman of the X is called Y.,chairman title,http://dbpedia.org/ontology/chairmanTitle
X won Y championships.,championships,http://dbpedia.org/ontology/championships
X served under the chancellor Y.,chancellor,http://dbpedia.org/ontology/chancellor
Y is a character in the play X.,character in play,http://dbpedia.org/ontology/characterInPlay
Y is the child of X.,child,http://dbpedia.org/ontology/child
